ID,Citation,Author (Japanease),Author (Japanease),Publication year,Publication year,Paper name,Journal/ Report name,Link 
B380162,,沖野新一,おきのしんいち,2020,b,（仮称）唐崎Ⅲ遺跡の土層、【参考】唐崎遺跡の国庫帰属通知書,からさき514号,
B380163,,沖野新一,おきのしんいち,2021,a,大宅遺跡（大洲市上須戒）,からさき554号,
B380164,,沖野新一,おきのしんいち,2021,b,伊予市（旧伊予市）の採集遺物一覧④,からさき605号,
B380165,,沖野新一,おきのしんいち,2023,,伊予市尾崎周辺の遺物散布状況（2023.12.30）,からさき733号,
B380166,,沖野新一,おきのしんいち,2024,,,,
B380167,,沖野実,おきのみのる,2022,,高見I遺跡の再検討,『中四国地方における後期旧石器時代前半期研究の現状』第39会中・四国旧石器文化談話会予稿集,
B380168,,沖野実,おきのみのる,2023,,愛媛県における先史石製民具の研究-旧石器時代・年代観-,九州旧石器第27号,
B380169,,伊予市教育委員会,いよしきょういくいいんかい,2019,,,高見Ⅱ遺跡　東峰遺跡第4地点2次　四国縦貫自動車道における（仮称）中山スマートインターチェンジの建設事業に伴う埋蔵文化財調査報告書,https://sitereports.nabunken.go.jp/71508
B380170,,（公財）愛媛県埋蔵文化財センター,こうざいえひめけんまいぞうぶんかざいせんたー,2018,a,,長沢元瀬・長沢二反地遺跡-一般国道196号今治道路（湯ノ浦?朝倉IC間）埋蔵文化財調査報告書5-,
B380171,,（公財）愛媛県埋蔵文化財センター,こうざいえひめけんまいぞうぶんかざいせんたー,2018,b,,旗屋遺跡Ⅱ、上三谷篠田・鶴吉遺跡-JR予讃線他埋蔵文化財発掘調査報告書-,
B380172,,（公財）愛媛県埋蔵文化財センター,こうざいえひめけんまいぞうぶんかざいせんたー,2018,c,,高見I遺跡2次-四国縦貫自動車道における（仮称）中山スマートインターチェンジの建設事業に伴う埋蔵文化財発掘調査報告書-,https://sitereports.nabunken.go.jp/72620
B380173,,今治市教育委員会,いまばりしきょういくいいんかい,2012,,,今治西部丘陵公園開発事業に伴う埋蔵文化財調査報告書　第1集,https://sitereports.nabunken.go.jp/45123
B380174,,重信町教育委員会,しげのぶちょうきょういくいいんかい,1998,,,重信町埋蔵文化財調査報告書5：拝志窯群,https://sitereports.nabunken.go.jp/45221
B380175,,松山市教育委員会,まつやましきょういくいいんかい,2018,,,松山市埋蔵文化財調査年報30,
B380176,,(公財)松山市文化・スポーツ振興財団埋蔵文化財センター,こうざいまつやましぶんか・すぽーつしんこうざいだんまいぞうぶんかざいせんたー,2013,,,久米高畑遺跡36次調査,https://sitereports.nabunken.go.jp/45008
B380177,,中・四国旧石器文化談話会,ちゅう・しこくきゅうせっきぶんかだんわかい,2018,,,『中・四国地方　旧石器時代遺跡集成集』,
B380178,,鵜久森彬,うぐもりあきら,2023,,出土物整理・権現町出土石器,松山市埋蔵文化財年報35,
B380179,,藤本勝,ふじもとまさる,1967,,陣の森の石器,愛媛の文化第6号,
B380180,,岩谷遺跡発掘調査団,いわやいせきはっくつちょうさだん,1979,,,岩谷遺跡,https://sitereports.nabunken.go.jp/100306
B380181,,長谷川善和ほか,はせがわよしかず,2015,,愛媛県大洲市肱川町のカラ岩谷敷水層産後期更新世の脊椎動物遺骸群集,群馬県立自然史博物館研究報告19,
B380182,,遠部慎,おんべしん,2025,,四国地方における旧石器時代の洞穴、岩陰遺跡-上黒岩岩陰から奥谷南へ-,『第41回中・四国旧石器文化談話会（高知大会）奥谷南遺跡をめぐる諸問題-岩陰・洞窟遺跡から旧石器時代の遺跡立地を考える-』発表要旨・資料集,
